name,dept,area,count,adjustedcount,year
A. Aldo Faisal,Imperial College London,robotics,1,0.333333333,2016
A. E. Eiben,VU Amsterdam,ai,1,0.5,2007
A. J. Field,Imperial College London,metrics,1,0.5,1986
A. J. Kfoury,Boston University,act,1,1,1980
A. J. Kfoury,Boston University,act,1,0.333333333,1990
A. J. Kfoury,Boston University,log,1,0.333333333,1987
A. J. Kfoury,Boston University,log,1,0.333333333,1988
A. J. Kfoury,Boston University,log,1,0.333333333,1989
A. J. Kfoury,Boston University,log,1,0.5,1990
A. J. Kfoury,Boston University,log,1,0.5,1995
A. J. Kfoury,Boston University,log,1,0.5,1999
A. J. Kfoury,Boston University,plan,1,1,1980
A. J. Kfoury,Boston University,plan,1,0.333333333,1988
A. J. Kfoury,Boston University,plan,1,0.5,1999
A. Jefferson Offutt,George Mason University,plan,1,0.5,1987
A. Jefferson Offutt,George Mason University,soft,1,0.333333333,1993
A. John Power,University of Bath,log,1,0.333333333,1995
A. John Power,University of Bath,log,1,0.333333333,1997
A. P. Wim Böhm,Colorado State University,arch,1,0.333333333,1991
A. P. Wim Böhm,Colorado State University,arch,1,0.333333333,1992
A. P. Wim Böhm,Colorado State University,arch,1,0.25,1993
A. P. Wim Böhm,Colorado State University,hpc,1,0.5,1987
A. Prasad Sistla,University of Illinois at Chicago,act,1,0.5,1982
A. Prasad Sistla,University of Illinois at Chicago,act,1,0.333333333,1983
A. Prasad Sistla,University of Illinois at Chicago,act,1,0.5,1984
A. Prasad Sistla,University of Illinois at Chicago,log,2,1,1987
A. Prasad Sistla,University of Illinois at Chicago,log,1,0.25,1990
A. Prasad Sistla,University of Illinois at Chicago,log,1,0.5,1991
A. Prasad Sistla,University of Illinois at Chicago,log,2,0.833333333,1993
A. Prasad Sistla,University of Illinois at Chicago,log,1,0.5,1994
A. Prasad Sistla,University of Illinois at Chicago,log,1,0.5,1995
A. Prasad Sistla,University of Illinois at Chicago,log,2,1.5,1997
A. Prasad Sistla,University of Illinois at Chicago,log,1,0.25,1998
A. Prasad Sistla,University of Illinois at Chicago,log,1,0.5,2001
A. Prasad Sistla,University of Illinois at Chicago,log,1,0.333333333,2008
A. Prasad Sistla,University of Illinois at Chicago,log,1,0.333333333,2011
A. Prasad Sistla,University of Illinois at Chicago,log,1,0.5,2016
A. Prasad Sistla,University of Illinois at Chicago,mod,2,0.666666667,1994
A. Prasad Sistla,University of Illinois at Chicago,mod,2,0.75,1995
A. Prasad Sistla,University of Illinois at Chicago,mod,1,0.2,2009
A. Prasad Sistla,University of Illinois at Chicago,nlp,1,0.2,2012
A. Prasad Sistla,University of Illinois at Chicago,plan,1,0.333333333,1983
A. Robert Calderbank,Duke University,act,1,0.2,2005
A. Robert Calderbank,Duke University,comm,2,0.666666667,2006
A. Robert Calderbank,Duke University,comm,2,0.5,2007
A. Robert Calderbank,Duke University,comm,1,0.25,2009
A. Robert Calderbank,Duke University,comm,1,0.25,2010
A. Robert Calderbank,Duke University,mlmining,1,0.2,2012
A. Robert Calderbank,Duke University,mlmining,1,0.166666667,2013
A. Robert Calderbank,Duke University,mlmining,1,0.2,2014
A. Robert Calderbank,Duke University,mlmining,1,0.25,2015
A. Robert Calderbank,Duke University,vision,1,0.25,2015
A. Udaya Shankar,University of Maryland - College Park,bed,1,1,1992
A. Udaya Shankar,University of Maryland - College Park,comm,1,0.5,1988
A. Udaya Shankar,University of Maryland - College Park,comm,1,0.5,1992
A. Udaya Shankar,University of Maryland - College Park,comm,2,1,1994
A. Udaya Shankar,University of Maryland - College Park,comm,1,0.25,1997
A. Udaya Shankar,University of Maryland - College Park,metrics,1,0.25,1992
A. Udaya Shankar,University of Maryland - College Park,metrics,1,0.5,1995
A. Udaya Shankar,University of Maryland - College Park,mobile,1,0.2,2006
A. Udaya Shankar,University of Maryland - College Park,sec,1,0.333333333,1991
A. W. Roscoe,University of Oxford,log,1,0.142857143,2012
A. W. Roscoe,University of Oxford,sec,1,1,1995
Aaditeshwar Seth,IIT Delhi,mobile,1,0.2,2006
Aaron Bobick,Georgia Institute of Technology,robotics,1,0.142857143,2012
